iter	Logloss
126	0.4044884512
127	0.4042677977
128	0.4040582606
129	0.4039292683
130	0.4037633631
131	0.4036062575
132	0.4034582179
133	0.4033754731
134	0.4031917116
135	0.4030890437
136	0.4029921512
137	0.4028402185
138	0.4026824824
139	0.4025568017
140	0.4024520483
141	0.4022789384
142	0.4019711169
143	0.4018180259
144	0.4017193702
145	0.4015615173
146	0.4013844069
147	0.401251232
148	0.4011145143
149	0.4009288704
150	0.4008147195
151	0.4006737117
152	0.4004340389
153	0.4003499186
154	0.4001897653
155	0.4000522653
156	0.3999024905
157	0.3997571459
158	0.3995941249
159	0.3994548055
160	0.3993728898
161	0.3992532017
162	0.3991610103
163	0.3989999813
164	0.3988653375
165	0.3987538535
166	0.3986383854
167	0.3984727768
168	0.3983946514
169	0.3982534708
170	0.3980734481
171	0.397947653
172	0.3978114795
173	0.3976759388
174	0.3975529998
175	0.3973958032
176	0.3973060593
177	0.3971392619
178	0.3970249522
179	0.3969386553
180	0.3968560506
181	0.3967730443
182	0.3966459203
183	0.3965055267
184	0.396353545
185	0.3962535558
186	0.396140318
187	0.3960205972
188	0.3959024948
189	0.3957866437
190	0.3956780976
191	0.3955297311
192	0.3953853884
193	0.3952879728
194	0.3951896276
195	0.3951105961
196	0.3949925731
197	0.3948772195
198	0.3948122516
199	0.394707671
200	0.3946386372
201	0.3946071377
202	0.3944078459
203	0.3942994516
204	0.3941783739
205	0.3940510538
206	0.3938990884
207	0.3938228804
208	0.3937333303
209	0.3935264485
210	0.3934306023
211	0.3932954446
212	0.3931785753
213	0.3931270872
214	0.393056017
215	0.3929722937
216	0.3928046205
217	0.3926562633
218	0.3925934416
219	0.3924795569
220	0.3923861115
221	0.3922951321
222	0.3921096658
223	0.3920397913
224	0.3919758253
225	0.3919179429
226	0.3918504365
227	0.3917912276
228	0.3917270561
229	0.3916011816
230	0.3915068019
231	0.3914303043
232	0.3913767191
233	0.3912460313
234	0.3911297739
235	0.391010338
236	0.3908362472
237	0.3907276241
238	0.3906416331
239	0.3905679286
240	0.3904773019
241	0.3903789755
242	0.3902372344
243	0.390188383
244	0.3900945755
245	0.3899632736
246	0.3898932893
247	0.3897748389
248	0.3897105133
249	0.3896357555
250	0.38954043
251	0.3894953876
252	0.3894236775
253	0.3893676448
254	0.3892876067
255	0.3891911766
256	0.3890665351
257	0.3889829753
258	0.3889029232
259	0.3887738889
260	0.3886410876
261	0.3885411288
262	0.3884537366
263	0.3883600226
264	0.3882932448
265	0.3881292125
266	0.3880613721
267	0.387932611
268	0.3878633577
269	0.3877709725
270	0.3877114974
271	0.3876602896
272	0.3875803403
273	0.3874764416
274	0.3874312451
275	0.3873548081
276	0.3872711759
277	0.3872281419
278	0.3871874129
279	0.3871511095
280	0.3870971342
281	0.3870123693
282	0.3869490269
283	0.3868894374
284	0.3868109313
285	0.3867639552
286	0.3867276984
287	0.3866025058
288	0.3865137078
289	0.3864394054
290	0.3863581109
291	0.3863027741
292	0.3862292354
293	0.3861139798
294	0.3860705114
295	0.3860141587
296	0.3859516033
297	0.3858846083
298	0.385816065
299	0.3857172901
300	0.3856526959
301	0.3855557707
302	0.3854786729
303	0.3854023014
304	0.3853469809
305	0.3852736594
306	0.385205046
307	0.3851293471
308	0.3850660093
309	0.3850211397
310	0.3849416831
311	0.3848325182
312	0.3847959765
313	0.3847141799
314	0.3846696116
315	0.384631323
316	0.3845603439
317	0.384477856
318	0.3843914587
319	0.3843069904
320	0.384250946
321	0.3841802331
322	0.3841158888
323	0.3840458695
324	0.3840062031
325	0.3839225055
326	0.3838643032
327	0.3838249474
328	0.3837601897
329	0.3836828326
330	0.3836207606
331	0.3835890789
332	0.3835476796
333	0.3834309831
334	0.3833705132
335	0.3832826703
336	0.3831635893
337	0.3830759846
338	0.3830304798
339	0.3829772659
340	0.3829251309
341	0.3828679165
342	0.3827496623
343	0.3826276224
344	0.3825538385
345	0.3824620441
346	0.3824216958
347	0.3823336497
348	0.3822528036
349	0.3821796689
350	0.382124993
351	0.3820799389
352	0.382031704
353	0.3819698912
354	0.3818966561
355	0.3818610953
356	0.3817750647
357	0.3816955567
358	0.3816535363
359	0.3815761232
360	0.3815212861
361	0.3814620166
362	0.3814216146
363	0.3813523052
364	0.381303699
365	0.3812718001
366	0.3812113418
367	0.3811029592
368	0.3810621158
369	0.3810023488
370	0.3809645063
371	0.3808896295
372	0.3808398859
373	0.3807910952
374	0.3807452611
375	0.3807080842
376	0.3806582285
377	0.3805226902
378	0.3804458282
379	0.3803945877
380	0.3803306497
381	0.3802790799
382	0.380203764
383	0.3801288847
384	0.3800493675
385	0.3799929237
386	0.3799163607
387	0.3798719068
388	0.3798282562
389	0.3797894025
390	0.3796949809
391	0.3796158769
392	0.3795662525
393	0.3795041314
394	0.3793944971
395	0.3793321495
396	0.3792943351
397	0.3792408736
398	0.3791691798
399	0.3791132102
400	0.3790665657
401	0.379019767
402	0.3789686152
403	0.3789244346
404	0.3788891143
405	0.3788391979
406	0.3787826141
407	0.3787409976
408	0.3786968029
409	0.3786326618
410	0.3785803213
411	0.3785300593
412	0.3784690779
413	0.3784015785
414	0.378361779
415	0.3782750851
416	0.3782234685
417	0.3781243411
418	0.3780664237
419	0.3780127264
420	0.3779599281
421	0.3779272982
422	0.3778951517
423	0.377814712
424	0.3777337538
425	0.3776870252
426	0.3776419501
427	0.3775815922
428	0.377545179
429	0.377492201
430	0.3774188187
431	0.3773649065
432	0.3772853052
433	0.3772358232
434	0.3771817545
435	0.3771213009
436	0.3770781851
437	0.37700378
438	0.376940545
439	0.3769141178
440	0.3768586363
441	0.3768213076
442	0.3767572318
443	0.3767154356
444	0.3766689405
445	0.3766278449
446	0.3765881575
447	0.3765578513
448	0.3764949011
449	0.3764354261
450	0.3764012945
451	0.376368291
452	0.3763338722
453	0.3762695909
454	0.3762300202
455	0.3761607366
456	0.3761072401
457	0.3760631435
458	0.376004376
459	0.375956377
460	0.375911449
461	0.3758607853
462	0.3758194655
463	0.3757836548
464	0.3757465573
465	0.3757001627
466	0.375635405
467	0.3755557429
468	0.3754885027
469	0.3754245297
470	0.3753352412
471	0.3752864668
472	0.375235635
473	0.3751875122
474	0.3751308582
475	0.3750593256
476	0.3750169735
477	0.3749611743
478	0.3749203286
479	0.3748833852
480	0.3748323853
481	0.374794732
482	0.3747641408
483	0.3747344909
484	0.3746845348
485	0.3746310313
486	0.374586164
487	0.3745540059
488	0.3745133983
489	0.3744882159
490	0.374435357
491	0.3743803658
492	0.3743466476
493	0.374327306
494	0.3742620042
495	0.3742317914
496	0.3741994161
497	0.3741603709
498	0.3741074069
499	0.3740495782
500	0.3740155401
501	0.3739576974
502	0.3739158031
503	0.3738345857
504	0.3737749541
505	0.3737304395
506	0.3736846474
507	0.3736486382
508	0.3736145767
509	0.3735550246
510	0.3735075837
511	0.373481703
512	0.3734582605
513	0.3734024543
514	0.3733683718
515	0.3733278624
516	0.3732756667
517	0.3732135293
518	0.3731669688
519	0.3731344604
520	0.373084969
521	0.3730530794
522	0.3730079366
523	0.3729536858
524	0.3728949323
525	0.3728522836
526	0.3727863606
527	0.3727463416
528	0.3727092768
529	0.3726731391
530	0.3726365064
531	0.3726052871
532	0.3725626501
533	0.372517234
534	0.3724648958
535	0.3724234429
536	0.3723926672
537	0.3723583839
538	0.3722995721
539	0.3722659613
540	0.3722277195
541	0.3721782959
542	0.372145255
543	0.3721189329
544	0.3720798293
545	0.3720485003
546	0.3720182197
547	0.371980863
548	0.3719242208
549	0.3718880995
550	0.3718549441
551	0.3717891635
552	0.3717320122
553	0.3716885554
554	0.3716381954
555	0.3715938302
556	0.3715404575
557	0.3714834626
558	0.3714385392
559	0.3714152625
560	0.3713598767
561	0.3713192972
562	0.3712472227
563	0.3711986095
564	0.3711421868
565	0.37109944
566	0.3710703949
567	0.3710475946
568	0.3709997894
569	0.3709397445
570	0.3709126051
571	0.370895001
572	0.3708426068
573	0.3707961398
574	0.3707329912
575	0.3707073931
576	0.3706749851
577	0.370650153
578	0.3706013833
579	0.3705716002
580	0.370540925
581	0.3704804948
582	0.3704436635
583	0.3704017552
584	0.370360113
585	0.3703346411
586	0.3702887112
587	0.3702559318
588	0.3702030799
589	0.3701736962
590	0.3701324067
591	0.3700939243
592	0.3700621935
593	0.3700226369
594	0.3699949814
595	0.3699445676
596	0.3699067671
597	0.3698656645
598	0.3698161358
599	0.3697579101
600	0.3696420661
601	0.3696171686
602	0.3695661172
603	0.3695351198
604	0.3694834308
605	0.3694568752
606	0.3694289044
607	0.369398374
608	0.3693734439
609	0.3693164747
610	0.3692661846
611	0.3692130548
612	0.3691525802
613	0.3691234603
614	0.3690914563
615	0.3690573925
616	0.3690262829
617	0.3689769224
618	0.3689204179
619	0.36888361
620	0.3688445975
621	0.3688167084
622	0.3687897348
623	0.3687314088
624	0.3686999489
625	0.368661679
626	0.3686193386
627	0.3685916808
628	0.3685614516
629	0.3685219604
630	0.3685049775
631	0.3684694494
632	0.3684352268
633	0.3683882016
634	0.3683591215
635	0.3682883595
636	0.368247787
637	0.3682143164
638	0.3681833119
639	0.3681546521
640	0.3681152893
641	0.3680822811
642	0.3680449221
643	0.3680091371
644	0.3679847067
645	0.3679334638
646	0.367892513
647	0.3677927666
648	0.3677495832
649	0.3677189103
650	0.3676819763
651	0.3676498905
652	0.3676211537
653	0.3675969989
654	0.367563659
655	0.367518675
656	0.3674851763
657	0.3674649917
658	0.3674276396
659	0.3673876112
660	0.3673597362
661	0.3673268751
662	0.3672886496
663	0.3672499711
664	0.3672221684
665	0.3671837701
666	0.3671304861
667	0.3671046008
668	0.3670716393
669	0.3670473957
670	0.3670212488
671	0.3669878599
672	0.3669615472
673	0.366935816
674	0.3669075836
675	0.3668824923
676	0.3668481202
677	0.3667975009
678	0.3667529186
679	0.3667324233
680	0.3666952371
681	0.366655225
682	0.366612163
683	0.3665862333
684	0.3665601705
685	0.3665272767
686	0.3664803473
687	0.3664529019
688	0.366430132
689	0.3664030766
690	0.3663802903
691	0.3663595825
692	0.3663269316
693	0.3662975993
694	0.3662629749
695	0.366242468
696	0.366207073
697	0.3661717527
698	0.3661298631
699	0.3661036765
700	0.36607692
701	0.3660335241
702	0.3659913822
703	0.3659563515
704	0.3659101577
705	0.3658767455
706	0.3658390758
707	0.3658038583
708	0.3657564478
709	0.3657171784
710	0.3656735279
711	0.3656299147
712	0.3656029037
713	0.3655733378
714	0.3655358597
715	0.3654957729
716	0.3654595068
717	0.3654254734
718	0.3653882241
719	0.3653423152
720	0.3653206406
721	0.3652916095
722	0.3652702034
723	0.3652376436
724	0.3652030847
725	0.3651895418
726	0.3651520006
727	0.3651238219
728	0.3650943004
729	0.3650617219
730	0.3650334124
731	0.3650110862
732	0.3649664875
733	0.3649497872
734	0.3649258683
735	0.3649035934
736	0.3648723367
737	0.3648283803
738	0.364796082
739	0.3647601148
740	0.3647303224
741	0.3646998247
742	0.3646530144
743	0.3646316924
744	0.3645996183
745	0.364555524
746	0.3645191996
747	0.3644951919
748	0.3644644186
749	0.3644221856
750	0.3644000766
751	0.364355207
752	0.3643310265
753	0.3643051108
754	0.3642640455
755	0.3642327818
756	0.364204407
757	0.3641676738
758	0.3641395792
759	0.364122636
760	0.3640968091
761	0.364074567
762	0.3640467713
763	0.3640241672
764	0.3639966681
765	0.3639572119
766	0.3639148154
767	0.363890301
768	0.3638646328
769	0.3638292915
770	0.3637979741
771	0.3637634409
772	0.3637297484
773	0.3636935734
774	0.3636553152
775	0.3636210155
776	0.363571349
777	0.3635287494
778	0.3634942652
779	0.3634615629
780	0.3634412848
781	0.363423599
782	0.3633826832
783	0.3633583229
784	0.3633243151
785	0.3633048988
786	0.3632679181
787	0.3632271307
788	0.3631710863
789	0.3631555163
790	0.3631190003
791	0.3630827973
792	0.3630572623
793	0.3630264213
794	0.3629884854
795	0.3629630812
796	0.3629383308
797	0.3628981693
798	0.362864659
799	0.3628370712
800	0.3628024399
801	0.3627429695
802	0.3627057762
803	0.3626817265
804	0.3626521326
805	0.3626271674
806	0.3625864174
807	0.3625517651
808	0.3625278905
809	0.3624981378
810	0.3624767807
811	0.3624594452
812	0.3624003602
813	0.3623741012
814	0.3623492831
815	0.3623309761
816	0.3622824656
817	0.3622467553
818	0.3621922196
819	0.3621582422
820	0.3621297085
821	0.3620953505
822	0.3620655534
823	0.362033108
824	0.3620072834
825	0.3619739108
826	0.3619415635
827	0.3619122054
828	0.3618772098
829	0.3618267049
830	0.3618075969
831	0.3617733018
832	0.3617437359
833	0.3617012788
834	0.3616745037
835	0.3616527309
836	0.3616257433
837	0.3615977795
838	0.3615681109
839	0.36154507
840	0.3615024447
841	0.3614854081
842	0.3614527829
843	0.3614146158
844	0.3613918295
845	0.3613527073
846	0.3613373825
847	0.3613083398
848	0.3612757939
849	0.3612502449
850	0.3612216178
851	0.36119435
852	0.3611733432
853	0.3611431468
854	0.3611078032
855	0.3610623637
856	0.361028015
857	0.3609949484
858	0.3609619145
859	0.3609363607
860	0.3609119771
861	0.3608680439
862	0.3608446341
863	0.3608117987
864	0.3607921161
865	0.3607624522
866	0.360744353
867	0.3606997076
868	0.3606704383
869	0.3606553354
870	0.3606352091
871	0.3606104354
872	0.3605775439
873	0.3605347178
874	0.3605051752
875	0.360463804
876	0.3604243852
877	0.360406314
878	0.3603856926
879	0.360363238
880	0.3603253815
881	0.3603010866
882	0.3602732278
883	0.360243314
884	0.3602152334
885	0.3601796282
886	0.3601470544
887	0.3601224605
888	0.3600960077
889	0.3600705427
890	0.3600234568
891	0.3599960208
892	0.3599739608
893	0.359953239
894	0.3598801697
895	0.3598445692
896	0.3598240576
897	0.3597854468
898	0.3597654559
899	0.35973089
900	0.3597090612
901	0.359677209
902	0.3596469729
903	0.3596170286
904	0.3595902909
905	0.359572068
906	0.359549994
907	0.3595300825
908	0.3595102085
909	0.359477352
910	0.3594563383
911	0.3594321298
912	0.3593715501
913	0.3593476802
914	0.3593269116
915	0.3592978922
916	0.3592633707
917	0.3592292368
918	0.3592069316
919	0.3591774428
920	0.3591475873
921	0.3591276782
922	0.3591016995
923	0.359068439
924	0.3590377545
925	0.359017035
926	0.3589988144
927	0.3589744868
928	0.3589576604
929	0.3589225783
930	0.3589018425
931	0.3588679585
932	0.3588450461
933	0.3588139739
934	0.3587920307
935	0.3587719114
936	0.358735998
937	0.3587013596
938	0.3586568847
939	0.3586403642
940	0.3586021248
941	0.358576877
942	0.3585481331
943	0.3585215052
944	0.3585055826
945	0.3584761545
946	0.3584516493
947	0.3584308271
948	0.358404386
949	0.3583812517
950	0.3583663006
951	0.3583445582
952	0.3583156579
953	0.3582979348
954	0.3582821686
955	0.3582473038
956	0.3582298515
957	0.3582002109
958	0.3581781439
959	0.3581483842
960	0.3581110438
961	0.3580819473
962	0.3580545393
963	0.3580259239
964	0.3580036071
965	0.3579752696
966	0.3579487607
967	0.357931598
968	0.3579102503
969	0.3578759179
970	0.3578423632
971	0.3578228768
972	0.357796069
973	0.3577630118
974	0.3577410966
975	0.3577135018
976	0.3576971494
977	0.3576865445
978	0.3576679432
979	0.3576431788
980	0.3576202244
981	0.3575865016
982	0.3575678769
983	0.3575336566
984	0.3574903284
985	0.3574583103
986	0.3574325067
987	0.3574063155
988	0.3573740429
989	0.3573376227
990	0.3573263124
991	0.3573065668
992	0.3572846189
993	0.3572622904
994	0.357227561
995	0.3571970726
996	0.3571726889
997	0.357149202
998	0.3571268828
999	0.3571067635
1000	0.3570807334
1001	0.3570569826
1002	0.3570111882
1003	0.3569823883
1004	0.3569509028
1005	0.3569196998
1006	0.356885685
1007	0.3568565628
1008	0.3568328611
1009	0.3568003549
1010	0.3567750955
1011	0.3567524587
1012	0.3567119912
1013	0.3566836071
1014	0.3566605592
1015	0.3566308812
1016	0.3566131534
1017	0.3565938608
1018	0.3565721278
1019	0.3565501145
1020	0.3565005905
1021	0.3564615593
1022	0.3564240508
1023	0.3563940249
1024	0.3563655683
1025	0.3563242671
1026	0.3562976041
1027	0.3562774288
1028	0.3562608896
1029	0.3562359431
1030	0.3562199435
1031	0.3562037079
1032	0.3561845204
1033	0.3561594852
1034	0.3561294896
1035	0.3560976327
1036	0.3560726115
1037	0.3560490265
1038	0.3560199814
1039	0.3559958359
1040	0.3559603452
1041	0.3559344061
1042	0.3558922012
1043	0.3558662084
1044	0.3558427052
1045	0.3558089496
1046	0.3557876416
1047	0.3557638722
1048	0.3557424544
1049	0.3557204902
1050	0.3556937688
1051	0.3556706088
1052	0.3556434741
1053	0.3556264725
1054	0.3556020888
1055	0.3555754305
1056	0.3555492859
1057	0.3555334684
1058	0.3555075668
1059	0.3554696122
1060	0.3554423653
1061	0.3554096607
1062	0.3553851673
1063	0.3553597023
1064	0.3553298351
1065	0.3553027167
1066	0.355266899
1067	0.3552485803
1068	0.3552260229
1069	0.3552005907
1070	0.3551572577
1071	0.3551200808
1072	0.3550985206
1073	0.3550778128
1074	0.3550614769
1075	0.3550308157
1076	0.354985918
1077	0.354948587
1078	0.3549229563
1079	0.3549053125
1080	0.3548810456
1081	0.3548649805
1082	0.3548368999
1083	0.3548105919
1084	0.3547852694
1085	0.3547506077
1086	0.3547296944
1087	0.3547007591
1088	0.3546814548
1089	0.354654264
1090	0.3546326804
1091	0.3546131684
